iczba wszystkich zwierząt,0
liczby wszystkich roślin,22
liczba wolnych pól,378
najpopularniejszy genotyp, 0
średniego poziomu energii dla żyjących zwierząt, 0
średniej długości życia zwierząt dla martwych zwierząt,8
